"area_id","parea_id","amo","sum","total","pages","female","male","ctime","update_time","max_hour","avg_hour"
"176","2","602","1020","10","1","0","0","11/4/2019 16:00:00",,"0","0"
"86","2","47929","589140","528","11","0","0","11/4/2019 16:00:00","11/4/2019 16:28:44","0","0"
"166","2","13","41","6","1","0","0","11/4/2019 16:00:00",,"0","0"
"35","3","52913","494179","255","6","0","0","11/4/2019 16:00:00","11/4/2019 16:28:42","0","0"
"248","2","541","605","6","1","0","0","11/4/2019 16:00:00",,"0","0"
"112","2","39","104","6","1","0","0","11/4/2019 16:00:00",,"0","0"
"173","2","101","157","8","1","0","0","11/4/2019 16:00:00",,"0","0"
"249","2","3567","3888","21","1","0","0","11/4/2019 16:00:00",,"0","0"
"164","2","4135","4591","11","1","0","0","11/4/2019 16:00:00",,"0","0"
"83","2","2593","4692","31","1","0","0","11/4/2019 16:00:00",,"0","0"
"81","2","71","160","6","1","0","0","11/4/2019 16:00:00",,"0","0"
"114","2","629","736","9","1","0","0","11/4/2019 16:00:00",,"0","0"
"223","6","14125","22598","13","1","0","0","11/4/2019 16:00:00",,"0","0"
"93","2","900","1373","25","1","0","0","11/4/2019 16:00:00",,"0","0"
"96","4","2665","6607","25","1","0","0","11/4/2019 16:00:00",,"0","0"
"181","2","1763","2287","25","1","0","0","11/4/2019 16:00:00",,"0","0"
"95","4","1987","2115","9","1","0","0","11/4/2019 16:00:00",,"0","0"
"107","2","23556","66823","395","8","0","0","11/4/2019 16:00:00","11/4/2019 16:28:44","0","0"
"163","3","21942","109374","73","2","0","0","11/4/2019 16:00:00","11/4/2019 16:28:44","0","0"
"193","5","32","32","1","1","0","0","11/4/2019 16:00:00",,"0","0"
"51","4","5514","28301","103","3","0","0","11/4/2019 16:00:00","11/4/2019 16:28:45","0","0"
"190","5","39623","81343","51","2","0","0","11/4/2019 16:00:00","11/4/2019 16:28:51","0","0"
"123","1","1142001","1160236","19","1","0","0","11/4/2019 16:00:00",,"0","0"
"136","1","110","157","6","1","0","0","11/4/2019 16:00:00",,"0","0"
"25","1","186","597","29","1","0","0","11/4/2019 16:00:00",,"0","0"
"21","1","9147","30884","15","1","0","0","11/4/2019 16:00:00",,"0","0"
"225","6","5","5","1","1","0","0","11/4/2019 16:00:00",,"0","0"
"33","1","23531","531728","343","7","0","0","11/4/2019 16:00:00","11/4/2019 16:28:49","0","0"
"199","1","13721","36832","31","1","0","0","11/4/2019 16:00:00",,"0","0"
"28","1","11856","20483","49","1","0","0","11/4/2019 16:00:00",,"0","0"
"222","6","0","0","0","1","0","0","11/4/2019 16:00:00",,"0","0"
"246","6","15","36","4","1","0","0","11/4/2019 16:00:00",,"0","0"
"220","6","88","88","1","1","0","0","11/4/2019 16:00:00",,"0","0"
"235","6","268518","493241","278","6","0","0","11/4/2019 16:00:00","11/4/2019 16:28:51","0","0"
"224","6","0","0","0","1","0","0","11/4/2019 16:00:00",,"0","0"
"230","6","0","0","0","1","0","0","11/4/2019 16:00:00",,"0","0"
"207","1","111","113","2","1","0","0","11/4/2019 16:00:00",,"0","0"
"143","1","16921","22209","21","1","0","0","11/4/2019 16:00:00",,"0","0"
"145","1","11259","64460","76","2","0","0","11/4/2019 16:00:00","11/4/2019 16:28:47","0","0"
"34","1","31929","100998","107","3","0","0","11/4/2019 16:00:00","11/4/2019 16:28:49","0","0"
"27","1","7609","74525","475","10","0","0","11/4/2019 16:00:00","11/4/2019 16:28:51","0","0"
"192","5","9266","40636","48","1","0","0","11/4/2019 16:00:00",,"0","0"
"94","4","3627","12434","46","1","0","0","11/4/2019 16:00:00",,"0","0"
"226","6","74","74","1","1","0","0","11/4/2019 16:00:00",,"0","0"
"232","6","13","13","1","1","0","0","11/4/2019 16:00:00",,"0","0"
"219","6","34","34","1","1","0","0","11/4/2019 16:00:00",,"0","0"
"241","6","13","21","3","1","0","0","11/4/2019 16:00:00",,"0","0"
"233","6","33","33","1","1","0","0","11/4/2019 16:00:00",,"0","0"
"229","6","4107","7233","15","1","0","0","11/4/2019 16:00:00",,"0","0"
"243","6","156","321","10","1","0","0","11/4/2019 16:00:00",,"0","0"
"227","6","1319","1390","9","1","0","0","11/4/2019 16:00:00",,"0","0"
"237","6","11","94","13","1","0","0","11/4/2019 16:00:00",,"0","0"
"247","6","7465","28812","20","1","0","0","11/4/2019 16:00:00",,"0","0"
"244","6","63","150","8","1","0","0","11/4/2019 16:00:00",,"0","0"
"221","6","2688","2973","10","1","0","0","11/4/2019 16:00:00",,"0","0"
"238","3","2051","3170","3","1","0","0","11/4/2019 16:00:00",,"0","0"
"228","6","1331","2293","6","1","0","0","11/4/2019 16:00:00",,"0","0"
"216","6","7946","25708","36","1","0","0","11/4/2019 16:00:00",,"0","0"
"215","3","41","42","2","1","0","0","11/4/2019 16:00:00",,"0","0"
"236","6","149478","188706","110","3","0","0","11/4/2019 16:00:00","11/4/2019 16:28:53","0","0"
"98","3","42521","102030","122","3","0","0","11/4/2019 16:00:00","11/4/2019 16:28:54","0","0"
"218","6","1930","2758","23","1","0","0","11/4/2019 16:00:00",,"0","0"
"242","3","23","23","1","1","0","0","11/4/2019 16:00:00",,"0","0"
"211","3","20","51","5","1","0","0","11/4/2019 16:00:00",,"0","0"
"212","3","334","412","7","1","0","0","11/4/2019 16:00:00",,"0","0"
"217","6","2132","4309","43","1","0","0","11/4/2019 16:00:00",,"0","0"
"245","6","105300","180579","130","3","0","0","11/4/2019 16:00:00","11/4/2019 16:28:54","0","0"
"186","3","14","17","2","1","0","0","11/4/2019 16:00:00",,"0","0"
"208","3","6568","8434","26","1","0","0","11/4/2019 16:00:00",,"0","0"
"206","3","0","0","0","1","0","0","11/4/2019 16:00:00",,"0","0"
"203","3","25","59","4","1","0","0","11/4/2019 16:00:00",,"0","0"
"174","3","13","19","2","1","0","0","11/4/2019 16:00:00",,"0","0"
"184","3","17","17","1","1","0","0","11/4/2019 16:00:00",,"0","0"
"42","3","48","77","3","1","0","0","11/4/2019 16:00:00",,"0","0"
"178","3","40","79","7","1","0","0","11/4/2019 16:00:00",,"0","0"
"41","3","10410","10829","7","1","0","0","11/4/2019 16:00:00",,"0","0"
"48","3","10","22","3","1","0","0","11/4/2019 16:00:00",,"0","0"
"140","3","17722","25402","31","1","0","0","11/4/2019 16:00:00",,"0","0"
"155","3","12","25","3","1","0","0","11/4/2019 16:00:00",,"0","0"
"36","3","1989","2794","20","1","0","0","11/4/2019 16:00:00",,"0","0"
"189","3","290","443","13","1","0","0","11/4/2019 16:00:00",,"0","0"
"141","3","108","189","5","1","0","0","11/4/2019 16:00:00",,"0","0"
"39","3","15","53","4","1","0","0","11/4/2019 16:00:00",,"0","0"
"50","3","60","73","3","1","0","0","11/4/2019 16:00:00",,"0","0"
"182","3","40","132","8","1","0","0","11/4/2019 16:00:00",,"0","0"
"113","3","2666","2953","12","1","0","0","11/4/2019 16:00:00",,"0","0"
"214","3","37118","40201","5","1","0","0","11/4/2019 16:00:00",,"0","0"
"37","3","6504","9879","27","1","0","0","11/4/2019 16:00:00",,"0","0"
"40","3","3028","10837","25","1","0","0","11/4/2019 16:00:00",,"0","0"
"156","3","11932","19584","30","1","0","0","11/4/2019 16:00:00",,"0","0"
"154","3","2163","3112","22","1","0","0","11/4/2019 16:00:00",,"0","0"
"153","3","30750","261497","115","3","0","0","11/4/2019 16:00:00","11/4/2019 16:28:56","0","0"
"196","2","7239","20630","32","1","0","0","11/4/2019 16:00:00",,"0","0"
"115","2","3892","5208","17","1","0","0","11/4/2019 16:00:00",,"0","0"
"88","2","2274","2684","26","1","0","0","11/4/2019 16:00:00",,"0","0"
"89","2","25414","52617","84","2","0","0","11/4/2019 16:00:00","11/4/2019 16:28:57","0","0"
"84","2","35183","128164","145","3","0","0","11/4/2019 16:00:00","11/4/2019 16:28:58","0","0"
"82","2","59051","76591","53","2","0","0","11/4/2019 16:00:00","11/4/2019 16:28:57","0","0"
"78","2","8579","59389","114","3","0","0","11/4/2019 16:00:00","11/4/2019 16:28:58","0","0"
"92","2","13350","20030","57","2","0","0","11/4/2019 16:00:00","11/4/2019 16:28:57","0","0"
"87","2","14290","111102","109","3","0","0","11/4/2019 16:00:00","11/4/2019 16:29:00","0","0"
"239","2","124717","356495","106","3","0","0","11/4/2019 16:00:00","11/4/2019 16:28:59","0","0"
"80","2","74458","364024","166","4","0","0","11/4/2019 16:00:00","11/4/2019 16:28:59","0","0"
"240","2","111331","298413","163","4","0","0","11/4/2019 16:00:00","11/4/2019 16:29:01","0","0"
"91","2","11279","26167","64","2","0","0","11/4/2019 16:00:00","11/4/2019 16:29:01","0","0"
"102","2","4669","10972","46","1","0","0","11/4/2019 16:00:00",,"0","0"
